,side,teamname,team kpm,dragons,barons,towers,dpm,vspm,earned gpm,wcpm,cspm,xpat15,goldat15,result
1191,Red,ThunderTalk Gaming,0.1274,2.0,1.0,2.0,1472.1975,9.172,1028.8217,2.4522,32.54324401913876,29876.795454545456,25044.644736842107,0
1192,Blue,Vikings Esports,0.1617,3.0,1.0,4.0,1598.0422,8.9448,1038.617,1.7512,33.1657,29890.0,23523.0,0
1193,Red,Team Whales,0.3502,2.0,1.0,9.0,2008.0736,9.3489,1181.383,1.7512,32.7346,29862.0,25474.0,1
1194,Blue,Frank Esports,0.5539,4.0,1.0,8.0,2680.0,11.0204,1305.6268,2.8863,35.5977,29077.0,24879.0,1
1195,Red,Beyond Gaming,0.2332,2.0,1.0,2.0,1949.0671,9.0379,1032.7988,1.3411,31.3703,28374.0,23347.0,0
1196,Blue,MiaoJing (å¦™ç«ž),0.7865,4.0,2.0,10.0,2860.3933,9.4944,1437.9775,1.4607,32.54324401913876,29876.795454545456,25044.644736842107,1
1197,Red,Anyone's Legend.Young,0.4775,1.0,0.0,3.0,2107.6966,8.8202,1096.1798,1.7135,32.54324401913876,29876.795454545456,25044.644736842107,0
1198,Blue,FearX,0.4602,3.0,2.0,11.0,2947.3882,11.1973,1390.5582,2.6587,36.7874,30566.0,25061.0,1
1199,Red,Nongshim RedForce,0.3068,2.0,0.0,5.0,2144.15,10.3025,1167.9421,1.8406,34.2054,29596.0,25671.0,0
1200,Blue,Team Whales,0.3234,4.0,1.0,11.0,1938.9025,9.4659,1278.9613,2.734,36.3939,30427.0,25317.0,1
1201,Red,Vikings Esports,0.0,1.0,0.0,1.0,1594.8947,9.9657,887.8589,2.0578,34.1597,29386.0,22424.0,0
1202,Blue,LNG Esports,0.2487,4.0,0.0,4.0,2505.1243,9.8116,961.4017,1.6277,32.54324401913876,29876.795454545456,25044.644736842107,0
1203,Red,Weibo Gaming,0.3843,3.0,2.0,10.0,2428.9148,8.1387,1248.425,1.786,32.54324401913876,29876.795454545456,25044.644736842107,1
1204,Blue,Anyone's Legend.Young,0.6386,4.0,1.0,11.0,3004.6444,9.8984,1398.0842,1.7417,32.54324401913876,29876.795454545456,25044.644736842107,1
1205,Red,MiaoJing (å¦™ç«ž),0.1451,0.0,0.0,2.0,2335.3846,8.1858,1020.9869,1.6836,32.54324401913876,29876.795454545456,25044.644736842107,0
1206,Blue,Beyond Gaming,0.2135,1.0,0.0,1.0,2034.4128,7.4021,861.7082,1.9929,29.5018,29655.0,23759.0,0
1207,Red,Frank Esports,0.8897,3.0,0.0,8.0,3022.5623,9.3238,1289.3594,1.8861,30.605,30649.0,25006.0,1
1208,Blue,Nongshim RedForce,0.5471,2.0,2.0,10.0,2813.3435,11.155,1356.0182,2.614,34.4073,28151.0,24136.0,1
1209,Red,FearX,0.3647,3.0,0.0,3.0,1957.4164,8.9362,1073.0395,1.307,33.465,29622.0,25428.0,0
1210,Blue,GAM Esports,0.683,2.0,1.0,9.0,2761.7416,9.0154,1444.7809,1.7075,35.1394,30385.0,25964.0,1
1211,Red,CERBERUS Esports,0.3415,2.0,0.0,0.0,2039.4195,8.0592,966.3176,2.0489,32.988,30047.0,25069.0,0
1212,Blue,MiaoJing (å¦™ç«ž),0.8968,3.0,0.0,9.0,3392.1439,8.6595,1443.8113,1.5694,32.54324401913876,29876.795454545456,25044.644736842107,1
