,side,teamname,team kpm,dragons,barons,towers,dpm,vspm,earned gpm,wcpm,cspm,xpat15,goldat15,result
0,Blue,LNG Esports,0.0954,2.0,0.0,2.0,1329.8303,7.9533,931.877,1.877,32.54324401913876,29876.795454545456,25044.644736842107,0
1,Red,Rare Atom,0.509,3.0,2.0,9.0,1811.5164,8.8123,1308.2291,1.5589,32.54324401913876,29876.795454545456,25044.644736842107,1
2,Blue,LNG Esports,0.0942,0.0,0.0,2.0,1708.697,7.4097,900.5338,1.4757,32.54324401913876,29876.795454545456,25044.644736842107,0
3,Red,Rare Atom,0.5338,4.0,1.0,9.0,1974.8195,9.8587,1342.3234,1.7582,32.54324401913876,29876.795454545456,25044.644736842107,1
4,Blue,LNG Esports,0.9517,2.0,1.0,10.0,2747.719,7.3414,1640.8459,1.5861,32.54324401913876,29876.795454545456,25044.644736842107,1
5,Red,Rare Atom,0.136,1.0,0.0,0.0,1568.8822,6.1631,717.2356,0.7251,32.54324401913876,29876.795454545456,25044.644736842107,0
6,Blue,Rare Atom,0.502,2.0,1.0,10.0,2013.8976,8.8583,1330.0394,1.6831,32.54324401913876,29876.795454545456,25044.644736842107,1
7,Red,LNG Esports,0.2657,4.0,0.0,3.0,1569.9803,7.7657,996.2008,1.9783,32.54324401913876,29876.795454545456,25044.644736842107,0
8,Blue,JD Gaming,0.6021,4.0,0.0,7.0,3112.2251,10.0262,1231.8325,1.8063,32.54324401913876,29876.795454545456,25044.644736842107,1
9,Red,Top Esports,0.5236,2.0,1.0,4.0,3221.6754,10.1309,1132.0681,2.1466,32.54324401913876,29876.795454545456,25044.644736842107,0
10,Blue,Top Esports,0.5898,3.0,2.0,8.0,2602.5469,9.4102,1343.6461,2.1984,32.54324401913876,29876.795454545456,25044.644736842107,1
11,Red,JD Gaming,0.2145,2.0,1.0,4.0,1798.9812,8.6863,1161.4209,1.2064,32.54324401913876,29876.795454545456,25044.644736842107,0
12,Blue,JD Gaming,0.7514,2.0,0.0,7.0,3221.7161,9.0724,1307.9499,1.8367,32.54324401913876,29876.795454545456,25044.644736842107,1
13,Red,Top Esports,0.2505,3.0,1.0,4.0,2283.9518,9.1558,1069.1466,1.7532,32.54324401913876,29876.795454545456,25044.644736842107,0
14,Blue,Top Esports,0.6296,3.0,1.0,8.0,2689.8889,7.0741,1402.0,1.2593,32.54324401913876,29876.795454545456,25044.644736842107,1
15,Red,JD Gaming,0.1111,1.0,0.0,0.0,1919.1111,6.2593,877.8519,1.0,32.54324401913876,29876.795454545456,25044.644736842107,0
16,Blue,JD Gaming,0.5482,4.0,2.0,10.0,3035.407,9.4684,1302.7326,1.6445,32.54324401913876,29876.795454545456,25044.644736842107,1
17,Red,Top Esports,0.3488,0.0,1.0,8.0,2712.309,8.9701,1192.1262,1.4452,32.54324401913876,29876.795454545456,25044.644736842107,0
18,Blue,Ninjas in Pyjamas,0.2215,0.0,0.0,3.0,2208.3692,6.9785,982.1538,1.5508,32.54324401913876,29876.795454545456,25044.644736842107,0
19,Red,Bilibili Gaming,0.5908,4.0,1.0,8.0,2636.7508,8.3446,1354.4862,1.4031,32.54324401913876,29876.795454545456,25044.644736842107,1
20,Blue,Ninjas in Pyjamas,0.2149,2.0,0.0,0.0,1172.6648,6.361,828.9112,1.2894,32.54324401913876,29876.795454545456,25044.644736842107,0
21,Red,Bilibili Gaming,0.8166,1.0,1.0,9.0,2404.384,7.3066,1422.2923,1.0315,32.54324401913876,29876.795454545456,25044.644736842107,1
22,Blue,Ninjas in Pyjamas,0.5176,0.0,0.0,1.0,2016.5619,7.6525,1026.4695,1.3678,32.54324401913876,29876.795454545456,25044.644736842107,0
23,Red,Bilibili Gaming,1.0351,4.0,1.0,11.0,3395.5638,9.0203,1562.6987,1.7006,32.54324401913876,29876.795454545456,25044.644736842107,1
24,Blue,Rare Atom,0.314,0.0,0.0,2.0,1973.7558,8.3023,1002.9419,1.7442,32.54324401913876,29876.795454545456,25044.644736842107,0
25,Red,JD Gaming,0.7326,4.0,1.0,10.0,2907.593,8.1279,1378.814,1.3256,32.54324401913876,29876.795454545456,25044.644736842107,1
26,Blue,Rare Atom,0.1826,1.0,1.0,3.0,1590.3955,9.4929,1058.9452,1.9777,32.54324401913876,29876.795454545456,25044.644736842107,0
27,Red,JD Gaming,0.426,3.0,1.0,8.0,2113.1136,7.8499,1222.211,1.8864,32.54324401913876,29876.795454545456,25044.644736842107,1
28,Blue,JD Gaming,0.4457,3.0,0.0,6.0,2016.5829,8.1943,1163.7943,1.8171,32.54324401913876,29876.795454545456,25044.644736842107,1
29,Red,Rare Atom,0.1371,1.0,0.0,3.0,1266.0,7.1314,936.5829,1.1314,32.54324401913876,29876.795454545456,25044.644736842107,0
30,Blue,JD Gaming,0.3958,2.0,0.0,2.0,2513.8648,9.5327,1089.5987,2.4079,32.54324401913876,29876.795454545456,25044.644736842107,0
31,Red,Bilibili Gaming,0.5937,3.0,1.0,10.0,2488.3672,12.1056,1358.4937,2.9357,32.54324401913876,29876.795454545456,25044.644736842107,1
32,Blue,Bilibili Gaming,0.8981,1.0,1.0,9.0,2579.5296,8.8097,1499.8717,2.2238,32.54324401913876,29876.795454545456,25044.644736842107,1
33,Red,JD Gaming,0.0855,2.0,0.0,0.0,1784.5617,6.9708,783.5068,1.5396,32.54324401913876,29876.795454545456,25044.644736842107,0
34,Blue,JD Gaming,0.3221,2.0,0.0,2.0,2472.5282,8.3092,1017.2625,1.4493,32.54324401913876,29876.795454545456,25044.644736842107,0
35,Red,Bilibili Gaming,0.6763,2.0,1.0,8.0,2705.9581,8.7601,1316.1353,1.5459,32.54324401913876,29876.795454545456,25044.644736842107,1
36,Blue,Team BDS,0.3431,2.0,0.0,3.0,1206.5523,9.3654,1112.7959,1.8525,34.4768,28686.0,27653.0,0
37,Red,G2 Esports,0.4803,2.0,1.0,9.0,2277.0497,7.4786,1289.5026,1.6467,34.8542,29282.0,25924.0,1
38,Blue,Rogue,0.1154,2.0,0.0,3.0,1694.1635,7.5577,960.2019,1.6154,33.1731,30345.0,23576.0,0
39,Red,SK Gaming,0.4615,3.0,2.0,9.0,1969.7019,9.8654,1331.9423,2.1058,35.8846,29953.0,23907.0,1
40,Blue,Karmine Corp,0.2278,2.0,1.0,4.0,2719.3165,8.1013,1033.2911,1.4684,32.4557,30045.0,23519.0,0
41,Red,Fnatic,0.5063,4.0,2.0,9.0,2376.9873,8.9114,1310.4304,1.6709,33.9241,29747.0,23980.0,1
42,Blue,Team Vitality,0.5499,1.0,0.0,7.0,2964.3177,8.9511,1246.9552,1.6497,32.7189,29691.0,25518.0,0
43,Red,GiantX,0.7332,3.0,1.0,7.0,2651.7923,8.279,1389.165,1.4053,31.558,30586.0,27253.0,1
44,Blue,MAD Lions KOI,0.6156,3.0,2.0,11.0,2070.6337,7.3506,1481.5329,1.376,35.3048,30021.0,27507.0,1
45,Red,Team Heretics,0.0362,0.0,0.0,0.0,1025.7574,6.0471,852.6011,1.0863,33.6753,29496.0,23416.0,0
46,Blue,GiantX,0.253,2.0,1.0,2.0,1218.5567,7.9569,983.0553,2.1931,32.6148,29436.0,25345.0,0
47,Red,Team BDS,0.3936,3.0,1.0,7.0,2302.5492,11.9775,1236.2137,2.3899,36.0731,28578.0,25502.0,1
48,Blue,MAD Lions KOI,0.2271,2.0,0.0,3.0,2068.1666,7.3986,960.0324,1.5251,30.4381,29028.0,24667.0,0
49,Red,SK Gaming,0.7139,3.0,2.0,8.0,2810.3299,9.6701,1334.4402,1.3953,31.0546,28596.0,25243.0,1
50,Blue,G2 Esports,0.4675,2.0,1.0,10.0,2356.8935,9.1013,1321.4338,1.5584,34.7221,28974.0,26066.0,1
51,Red,Karmine Corp,0.4364,3.0,1.0,4.0,1914.0779,8.2909,1193.9844,1.3714,32.5403,29513.0,25775.0,0
52,Blue,Fnatic,0.4043,2.0,1.0,11.0,2142.1786,7.8832,1348.9388,1.3476,37.2263,31727.0,27964.0,1
53,Red,Team Vitality,0.1684,2.0,0.0,3.0,1717.9337,6.8389,963.7395,1.3139,33.6552,30222.0,24191.0,0
54,Blue,Rogue,0.0633,2.0,0.0,1.0,1932.6582,6.9937,944.7468,1.7089,34.4304,29458.0,23086.0,0
55,Red,Team Heretics,0.4747,2.0,1.0,11.0,2206.6456,9.8418,1320.443,1.4557,34.557,30117.0,24442.0,1
56,Blue,ION Global Esports,0.6751,5.0,2.0,11.0,2788.0169,7.7637,1503.7412,1.1814,35.1055,32573.0,26918.0,1
57,Red,FURY Global,0.1969,0.0,0.0,4.0,1773.3896,6.2447,1106.9761,1.1533,34.2053,30879.0,23837.0,0
58,Blue,ION Global Esports,1.232,3.0,1.0,8.0,3074.8665,5.9138,1526.7351,0.7392,33.6345,33606.0,30638.0,1
59,Red,FURY Global,0.2464,0.0,0.0,3.0,1652.2382,5.0513,957.7413,0.7803,30.1027,27552.0,23360.0,0
60,Blue,Team Bliss,1.2262,2.0,1.0,9.0,3007.3573,6.5116,1630.0211,0.7611,32.1776,31725.0,30182.0,1
61,Red,Dire Wolves,0.3805,1.0,0.0,1.0,1825.0317,5.4545,972.8541,0.6342,30.3171,27442.0,23955.0,0
62,Blue,Dire Wolves,0.4444,0.0,1.0,4.0,2369.0,6.1944,1067.7222,1.0833,29.3056,27115.0,23999.0,0
63,Red,Team Bliss,0.4722,5.0,1.0,9.0,2685.9444,7.5278,1229.1667,1.0556,29.9722,28975.0,24389.0,1
64,Blue,KT Rolster Challengers,0.4047,5.0,1.0,7.0,1800.2769,9.7764,1245.5378,1.8104,33.8871,29977.0,23273.0,1
65,Red,OKSavingsBank BRION Challengers,0.2556,3.0,2.0,10.0,1871.0543,9.2226,1195.1225,1.4058,33.6528,30807.0,24829.0,0
66,Blue,OKSavingsBank BRION Challengers,0.0675,1.0,0.0,2.0,1534.6764,8.8464,899.8987,1.7895,32.8194,27857.0,21979.0,0
67,Red,KT Rolster Challengers,0.4727,3.0,1.0,11.0,1833.9674,8.7451,1243.3877,1.9584,32.9207,31530.0,26465.0,1
68,Blue,Team Vitality,0.3388,2.0,0.0,1.0,2354.7036,8.5714,1014.0711,1.1858,32.1513,31768.0,25914.0,0
69,Red,Team BDS,0.847,2.0,1.0,7.0,2572.987,8.3682,1374.2067,2.3038,34.0824,29822.0,24241.0,1
70,Blue,G2 Esports,0.1593,0.0,1.0,6.0,1683.1593,7.5664,1158.7699,1.4602,34.3009,29182.0,24869.0,0
71,Red,Rogue,0.5575,5.0,1.0,11.0,2773.8319,9.8761,1331.177,1.354,33.2389,29036.0,24821.0,1
72,Blue,Team Heretics,0.4114,5.0,2.0,10.0,2653.6925,10.5485,1382.4976,2.0862,36.1704,31923.0,26583.0,1
73,Red,GiantX,0.1763,0.0,0.0,1.0,1898.5211,8.4623,939.3144,1.998,32.9971,28503.0,22379.0,0
74,Blue,Karmine Corp,0.3526,2.0,0.0,3.0,2057.4241,9.9021,1047.2086,2.2037,32.7032,31472.0,26437.0,0
75,Red,MAD Lions KOI,0.5877,3.0,1.0,8.0,2732.2919,8.8149,1213.0754,2.0862,31.0872,31242.0,24491.0,1
76,Blue,SK Gaming,0.5039,4.0,1.0,8.0,2598.5197,8.4724,1222.0472,1.1969,30.3307,30013.0,26705.0,1
77,Red,Fnatic,0.1575,1.0,0.0,4.0,1619.9055,7.7795,1013.7008,1.7953,34.4567,29646.0,25259.0,0
78,Blue,Ground Zero Gaming,0.8736,4.0,1.0,9.0,2654.5731,7.227,1458.2263,1.5089,34.3878,29961.0,27641.0,1
79,Red,Kanga Esports,0.4368,0.0,0.0,1.0,2016.6512,5.7578,944.8312,0.953,30.4169,30052.0,24306.0,0
80,Blue,Ground Zero Gaming,0.6623,4.0,1.0,9.0,2334.0066,8.4106,1423.543,1.6556,36.6556,31902.0,26792.0,1
81,Red,Kanga Esports,0.298,1.0,0.0,1.0,2654.2053,6.755,928.1457,1.3576,30.4305,28042.0,22831.0,0
82,Blue,Hanwha Life Esports Challengers,0.4659,3.0,2.0,8.0,2167.3314,8.1161,1238.913,1.9861,31.8022,30148.0,24988.0,1
83,Red,Dplus KIA Challengers,0.4414,3.0,1.0,9.0,2213.0609,9.4156,1246.1708,1.6673,34.5239,31850.0,25890.0,0
84,Blue,Dplus KIA Challengers,0.2303,3.0,2.0,8.0,1990.7207,10.823,1119.403,1.919,32.597,29604.0,24339.0,1
85,Red,Hanwha Life Esports Challengers,0.1279,3.0,1.0,3.0,1095.3006,8.8785,906.8316,2.0213,31.0874,28800.0,22631.0,0
86,Blue,Hanwha Life Esports Challengers,0.4548,2.0,2.0,10.0,1681.3644,7.8289,1290.2436,1.007,34.5317,30036.0,23655.0,1
87,Red,Dplus KIA Challengers,0.1624,2.0,0.0,1.0,1422.2956,7.569,948.3703,1.3969,34.4992,30312.0,25381.0,0
88,Blue,GRP Esports,0.1224,2.0,0.0,1.0,1907.1735,7.102,920.1429,1.0102,31.7143,30556.0,25186.0,0
89,Red,Forsaken,0.4592,3.0,2.0,11.0,1930.5612,6.9796,1277.8776,1.102,32.6939,30274.0,22365.0,1
90,Blue,devils.one,0.3866,3.0,0.0,7.0,1595.6063,7.522,1130.6151,1.0896,33.2865,30627.0,24305.0,1
91,Red,Team ESCA Gaming,0.0,1.0,0.0,1.0,1344.0422,5.413,745.413,0.5975,30.1582,27560.0,21433.0,0
92,Blue,Orbit Anonymo Esports,0.4267,3.0,2.0,8.0,2451.2376,7.8805,1262.1906,1.6216,33.542,30806.0,25764.0,1
93,Red,Iron Wolves,0.2845,3.0,0.0,2.0,1803.3001,8.5349,944.4097,1.5647,29.7582,29892.0,23054.0,0
94,Blue,Zero Tenacity,0.3988,2.0,0.0,7.0,2820.7362,8.1595,1121.5337,1.4417,33.9264,31001.0,25404.0,1
95,Red,Back2TheGame,0.1534,3.0,0.0,3.0,2024.7546,8.1288,910.5215,1.6871,30.3067,31028.0,24509.0,0
96,Blue,Movistar R7,0.1973,0.0,0.0,4.0,1971.3534,7.3973,1101.863,1.2822,34.4219,30585.0,24854.0,0
97,Red,Estral Esports,0.6575,4.0,1.0,10.0,2343.5836,8.4822,1405.5123,1.4137,34.0274,30695.0,26613.0,1
98,Blue,Movistar R7,0.2723,0.0,0.0,4.0,2284.3222,6.9087,1035.4169,1.3273,30.6296,27501.0,22388.0,0
99,Red,Estral Esports,0.8508,3.0,1.0,8.0,3093.0119,8.0318,1386.9767,1.3953,32.8077,29323.0,26215.0,1
100,Blue,INFINITY,0.1752,2.0,0.0,6.0,1712.146,8.292,994.5693,1.6058,32.7007,29825.0,25749.0,0
101,Red,Isurus,0.5255,3.0,2.0,9.0,2369.1387,9.1095,1353.6642,1.7226,32.4672,27579.0,22489.0,1
102,Blue,Isurus,0.7327,2.0,1.0,9.0,2457.9647,9.9322,1353.2564,1.384,31.7096,29156.0,24325.0,1
103,Red,INFINITY,0.1628,0.0,0.0,1.0,2324.0434,6.0244,864.0977,1.0991,30.692,28036.0,23504.0,0
104,Blue,DRX,0.3351,3.0,0.0,3.0,2583.8771,8.5441,1095.2932,1.6992,31.8548,30529.0,26441.0,0
105,Red,Nongshim RedForce,0.3351,4.0,3.0,9.0,2870.5465,8.8552,1244.8744,1.6274,33.1233,29121.0,22526.0,1
106,Blue,DRX,0.0702,1.0,0.0,2.0,1523.0526,6.386,894.3158,1.2982,31.3684,28577.0,23452.0,0
107,Red,Nongshim RedForce,0.4211,3.0,1.0,10.0,2552.1404,8.8421,1277.3684,1.5789,35.2632,30288.0,23806.0,1
108,Blue,Gen.G,0.138,3.0,0.0,1.0,1554.8591,8.7292,971.8344,1.6561,34.3646,31424.0,25042.0,0
109,Red,T1,0.207,1.0,1.0,8.0,1691.4549,9.5227,1250.9948,1.6216,36.9523,32284.0,26594.0,1
110,Blue,T1,0.3175,2.0,0.0,5.0,2469.3968,7.6825,1138.3492,1.4603,32.2857,32339.0,25816.0,0
111,Red,Gen.G,0.5397,3.0,1.0,8.0,2405.9048,9.8413,1300.8889,1.8095,33.8095,31191.0,25284.0,1
112,Blue,T1,0.2334,1.0,1.0,6.0,1786.7211,10.245,1201.3069,1.8436,33.979,29680.0,23435.0,0
113,Red,Gen.G,0.5834,6.0,1.0,10.0,2211.3419,11.2719,1393.4656,2.9638,33.7223,30493.0,27389.0,1
114,Blue,NNO Prime,0.2953,3.0,1.0,4.0,2465.4389,11.1239,1046.4807,2.2395,30.6645,29701.0,23557.0,0
115,Red,SK Gaming Prime,0.2707,3.0,2.0,10.0,2634.1181,9.4011,1208.2199,2.4118,34.7498,29299.0,24605.0,1
116,Blue,Bar̤a eSports,0.4355,1.0,0.0,4.0,1938.2245,6.4322,1112.6298,0.8375,31.3568,31610.0,25425.0,0
117,Red,Case Esports,0.7705,3.0,1.0,9.0,2443.2161,8.7437,1354.5729,1.273,31.5578,31884.0,25681.0,1
118,Blue,BK ROG Esports,0.2354,0.0,0.0,3.0,1280.6409,6.3963,946.344,1.7266,30.7652,28970.0,26368.0,0
119,Red,Karmine Corp Blue,0.9026,3.0,1.0,8.0,2170.5167,9.0647,1433.9568,1.5697,32.4526,29684.0,26537.0,1
120,Blue,GRP Esports,0.2741,1.0,0.0,2.0,2291.3421,6.7162,907.7099,0.8224,28.8178,28732.0,23257.0,0
121,Red,Team ESCA Gaming,0.8224,3.0,1.0,9.0,3058.4923,6.4078,1328.9435,1.1993,29.9143,30409.0,25001.0,1
122,Blue,Aegis,0.1077,1.0,0.0,3.0,1971.7056,7.8905,956.0144,1.4004,33.6894,29428.0,22852.0,0
123,Red,Team GO,0.3501,4.0,1.0,9.0,2408.2406,9.237,1189.8474,1.4542,34.0664,30165.0,24690.0,1
124,Blue,Ramboot Club,0.8225,1.0,1.0,11.0,2684.1261,7.5257,1586.0727,1.4805,35.3256,32751.0,32212.0,1
125,Red,Rebels Gaming,0.2056,2.0,0.0,0.0,1879.6984,6.4976,867.0185,1.1103,32.8581,28056.0,22291.0,0
126,Blue,Eintracht Frankfurt,0.7945,4.0,2.0,9.0,3241.5616,10.2466,1362.0,1.7808,30.7945,30132.0,25676.0,1
127,Red,Austrian Force willhaben,0.3562,1.0,0.0,3.0,2599.863,8.411,1063.726,1.726,33.1233,30858.0,26638.0,0
128,Blue,Orbit Anonymo Esports,0.4941,3.0,1.0,8.0,2328.6353,7.4824,1292.7882,1.1294,34.6588,31167.0,23942.0,1
129,Red,Zero Tenacity,0.2471,1.0,0.0,3.0,2272.0588,7.4824,1023.4235,1.2706,33.5647,31755.0,26227.0,0
130,Blue,UCAM Tokiers,0.5553,4.0,3.0,11.0,2932.5284,10.4754,1376.4914,1.5902,31.098,29751.0,26145.0,1
131,Red,Guasones,0.2524,1.0,0.0,3.0,2460.4039,7.5726,1070.7362,2.0194,31.6786,29192.0,23911.0,0
132,Blue,Vitality.Bee,0.4523,1.0,1.0,10.0,2373.0856,8.3683,1271.2439,1.4216,32.1809,30619.0,24960.0,1
133,Red,Team BDS Academy,0.2585,3.0,0.0,3.0,2303.2956,8.0129,964.6527,1.5509,31.567,29828.0,24560.0,0
134,Blue,Unicorns of Love Sexy Edition,0.3785,2.0,1.0,3.0,1839.0987,8.3822,1105.2276,1.4872,32.3119,28734.0,26908.0,0
135,Red,Eintracht Spandau,0.3785,4.0,1.0,8.0,2210.7796,9.1122,1212.8166,1.8387,34.1505,30076.0,25632.0,1
136,Blue,devils.one,0.5376,3.0,1.0,10.0,2558.9149,6.1523,1249.547,0.7466,32.0458,31023.0,25898.0,1
137,Red,Back2TheGame,0.2987,2.0,0.0,3.0,2133.7481,6.6899,1037.0234,1.2245,30.7616,28305.0,23748.0,0
138,Blue,Los Heretics,0.2851,2.0,2.0,11.0,1817.8315,8.3197,1316.5011,1.8143,34.4968,30078.0,27003.0,1
139,Red,GIANTX Pride,0.1555,2.0,1.0,3.0,1713.5378,7.5421,1021.9179,1.0886,33.6674,29237.0,23719.0,0
140,Blue,Solary,0.2855,1.0,0.0,3.0,2550.6488,8.4602,1000.173,2.0502,31.9464,30517.0,25230.0,0
141,Red,Gentle Mates,0.5709,4.0,2.0,7.0,3308.564,10.6142,1229.2474,1.7388,31.064,30025.0,24164.0,1
142,Blue,MOUZ NXT,0.499,1.0,0.0,4.0,2136.9231,7.9834,1145.1455,1.1227,33.711,30140.0,24821.0,0
143,Red,E WIE EINFACH E-SPORTS,0.5301,3.0,1.0,9.0,2217.6923,6.4865,1280.052,1.2162,34.4906,30181.0,25166.0,1
144,Blue,Forsaken,0.4335,2.0,0.0,3.0,1801.0116,7.9769,1053.3526,1.185,30.6069,30946.0,26579.0,0
145,Red,Iron Wolves,0.5202,3.0,2.0,10.0,2350.896,6.8497,1341.7341,1.4162,33.9884,29028.0,23981.0,1
146,Blue,ZETA,0.4458,2.0,2.0,8.0,2275.964,9.2921,1232.7806,1.6895,32.147,29499.0,23643.0,0
147,Red,Movistar KOI,0.4224,5.0,0.0,9.0,1744.998,8.5647,1208.2831,1.4548,32.6633,29768.0,23581.0,1
148,Blue,Team du Sud,0.3781,2.0,0.0,3.0,2278.3131,7.0674,1059.4959,1.2215,31.4397,29375.0,25200.0,0
149,Red,GameWard,0.7271,3.0,2.0,10.0,2365.7392,8.6088,1386.7765,1.3088,31.7014,31174.0,26102.0,1
150,Blue,Berlin International Gaming,0.1282,3.0,2.0,4.0,1839.4103,9.1538,979.9231,1.7179,30.2821,29941.0,23924.0,0
151,Red,FC Schalke 04 Esports,0.4103,3.0,0.0,9.0,2270.2308,8.6923,1170.5128,1.7949,33.8718,30702.0,24604.0,1
152,Blue,Isurus,0.7781,3.0,1.0,11.0,2240.9654,8.8617,1511.7147,1.5562,33.0259,31589.0,29668.0,1
153,Red,Leviatan,0.2161,0.0,0.0,0.0,1474.4524,6.9597,871.7291,1.0375,30.0,27357.0,22905.0,0
154,Blue,Isurus,0.647,5.0,2.0,9.0,2772.6301,8.5513,1392.7989,1.8003,30.6048,31231.0,26933.0,1
155,Red,Leviatan,0.4501,1.0,0.0,5.0,2739.1842,8.045,1154.0366,1.3221,30.2672,32435.0,27553.0,0
156,Blue,Six Karma,0.2699,0.0,0.0,1.0,1491.671,7.4422,903.8175,1.2725,28.7661,28245.0,23823.0,0
157,Red,Movistar R7,0.617,4.0,1.0,10.0,2626.1183,9.91,1432.5964,2.0437,36.8638,30378.0,24922.0,1
158,Blue,Movistar R7,0.8059,2.0,1.0,8.0,2827.8173,9.0262,1459.0195,1.7327,36.2257,31045.0,25678.0,1
159,Red,Six Karma,0.2821,1.0,0.0,1.0,1532.1155,7.2129,894.8019,1.2492,30.4634,30220.0,23391.0,0
160,Blue,OKSavingsBank BRION Challengers,0.5492,2.0,0.0,8.0,2406.1442,9.2334,1320.7208,1.5789,35.6293,31191.0,26032.0,1
161,Red,FearX Youth,0.1373,2.0,0.0,1.0,1761.3844,7.7918,909.9886,1.8879,31.8535,30060.0,23551.0,0
162,Blue,Gen.G Global Academy,0.2448,0.0,0.0,5.0,1635.5594,7.0629,1121.0839,1.2937,34.1259,30152.0,25418.0,0
163,Red,DRX Challengers,0.3846,3.0,1.0,11.0,2374.1259,8.7413,1359.2657,1.7832,36.6434,29975.0,24918.0,1
164,Blue,FearX Youth,0.3415,1.0,0.0,4.0,2001.1996,9.8774,1049.8687,2.0753,30.6305,29731.0,25093.0,0
165,Red,OKSavingsBank BRION Challengers,0.7881,4.0,2.0,11.0,2987.8371,10.1401,1495.8494,2.2067,35.2539,31586.0,27839.0,1
166,Blue,Gen.G Global Academy,0.5779,3.0,1.0,8.0,2514.051,10.6742,1316.7025,2.1756,33.7564,29417.0,25467.0,1
167,Red,DRX Challengers,0.3059,1.0,0.0,3.0,1830.3229,7.1728,1016.4306,1.5977,32.0907,28505.0,27386.0,0
168,Blue,DRX Challengers,1.0714,3.0,1.0,10.0,2912.1857,8.5714,1562.5286,1.2,31.8,29628.0,28293.0,1
169,Red,Gen.G Global Academy,0.2143,0.0,0.0,1.0,1569.2143,5.8286,838.9714,1.2857,28.1571,26034.0,22486.0,0
170,Blue,OKSavingsBank BRION,0.1027,0.0,0.0,4.0,1268.3562,9.3493,1005.3425,2.0548,35.5479,30840.0,24751.0,0
171,Red,Dplus KIA,0.5137,4.0,1.0,10.0,1957.3288,9.726,1348.3904,2.2603,36.1986,31247.0,24858.0,1
172,Blue,OKSavingsBank BRION,0.2044,3.0,0.0,4.0,2087.5809,9.9915,1023.4497,2.5298,34.983,31038.0,25749.0,0
173,Red,Dplus KIA,0.3322,3.0,2.0,10.0,2203.109,10.3748,1270.5026,2.6065,35.1107,29887.0,24376.0,1
174,Blue,KT Rolster,0.4352,3.0,1.0,8.0,2197.9787,10.4159,1310.0484,2.4371,37.6306,31913.0,27004.0,1
175,Red,FearX,0.2901,2.0,0.0,2.0,1753.0561,9.4584,1053.5977,1.8279,34.294,31996.0,26744.0,0
176,Blue,FearX,0.3394,1.0,0.0,0.0,2234.4437,6.9767,934.1295,1.3953,30.4714,29903.0,25479.0,0
177,Red,KT Rolster,1.0182,3.0,1.0,11.0,3127.3162,8.3721,1540.7668,1.5085,33.4129,32631.0,27021.0,1
178,Blue,Ramboot Club,0.6791,1.0,1.0,10.0,1829.4807,7.4301,1438.6019,1.2783,34.6338,29630.0,27251.0,1
179,Red,ZETA,0.2397,3.0,0.0,2.0,1661.265,6.8309,985.7656,0.9987,32.237,27973.0,23745.0,0
180,Blue,Eintracht Spandau,0.239,0.0,0.0,2.0,2391.3944,7.7518,966.8981,1.1952,30.2561,29430.0,24215.0,0
181,Red,SK Gaming Prime,0.8537,4.0,1.0,10.0,2970.222,7.3079,1448.469,1.1952,33.3637,30492.0,26242.0,1
182,Blue,Team du Sud,0.4106,2.0,3.0,9.0,2564.8309,9.0338,1210.1449,1.4251,29.7826,29053.0,24501.0,0
183,Red,Karmine Corp Blue,0.5556,4.0,0.0,8.0,2657.3913,7.9227,1239.7101,1.5942,32.4396,29191.0,25107.0,1
184,Blue,Movistar KOI,0.9186,0.0,1.0,8.0,2960.7933,7.1399,1457.8288,1.3361,32.1086,30659.0,28327.0,1
185,Red,Guasones,0.4593,3.0,0.0,1.0,2071.4823,5.595,978.7891,0.8351,28.9353,29954.0,24680.0,0
186,Blue,E WIE EINFACH E-SPORTS,0.4079,1.0,0.0,3.0,2049.3515,7.6255,1127.9812,1.5063,30.7845,28888.0,27918.0,0
187,Red,NNO Prime,0.91,4.0,1.0,10.0,3717.5209,10.387,1458.4833,1.4121,31.5063,31345.0,29557.0,1
188,Blue,GameWard,0.2277,0.0,0.0,3.0,1471.0057,7.3624,976.4706,1.6319,31.3093,28543.0,25571.0,0
189,Red,Vitality.Bee,0.797,4.0,1.0,10.0,2589.1461,7.666,1389.0323,1.4042,32.8273,29915.0,26600.0,1
190,Blue,GIANTX Pride,0.4161,3.0,1.0,8.0,2182.5243,8.7933,1168.3495,1.5811,31.5118,30584.0,26275.0,0
191,Red,Rebels Gaming,0.4716,2.0,1.0,8.0,2010.957,8.932,1207.6838,1.8863,33.0652,30345.0,25162.0,1
192,Blue,Unicorns of Love Sexy Edition,0.738,3.0,2.0,11.0,2670.5775,8.1497,1466.246,1.8289,34.3957,31079.0,24231.0,1
193,Red,Berlin International Gaming,0.3209,2.0,0.0,2.0,2172.8984,7.508,1062.3209,1.2834,32.7914,30279.0,23352.0,0
194,Blue,BK ROG Esports,0.6483,5.0,2.0,10.0,2548.7917,9.2534,1334.7053,1.2967,29.4401,29879.0,27364.0,1
195,Red,Team GO,0.3831,0.0,0.0,3.0,2262.3477,7.721,1044.8134,1.8861,31.945,29399.0,25061.0,0
196,Blue,Case Esports,0.4548,2.0,0.0,2.0,2456.9304,7.2477,1127.9773,1.1937,30.9237,29031.0,25213.0,0
